FirstName,LastName,Username,Email,Password,DateOfBirth,PhoneNumber,Address,City,AcademicProgram
Chi,Nguyen,chi.nguyen1,chi.nguyen1@student.sims.edu,,2003-02-14,555-2143,779 Hai Ba Trung,Ha Noi,Computer Science
Dung,Huynh,dung.huynh2,dung.huynh2@student.sims.edu,,2004-03-23,555-9250,532 Nguyen Hue,Ho Chi Minh,Information Technology
Duc,Pham,duc.pham3,duc.pham3@student.sims.edu,,2005-10-02,555-5840,990 Le Loi,Nha Trang,Mathematics
Nga,Dang,nga.dang4,nga.dang4@student.sims.edu,,2005-01-24,555-4403,700 Nguyen Hue,Nha Trang,Electronics
Trang,Dang,trang.dang5,trang.dang5@student.sims.edu,,2004-12-25,555-3622,640 Hai Ba Trung,Can Tho,Computer Science
Giang,Vu,giang.vu6,giang.vu6@student.sims.edu,,2001-06-04,555-3026,223 Le Loi,Ha Noi,Mathematics
Minh,Huynh,minh.huynh7,minh.huynh7@student.sims.edu,,2002-06-08,555-2678,650 Nguyen Hue,Nha Trang,Mathematics
Tuan,Dang,tuan.dang8,tuan.dang8@student.sims.edu,,2005-12-28,555-2067,200 Hai Ba Trung,Da Nang,Information Technology
Hai,Dang,hai.dang9,hai.dang9@student.sims.edu,,2001-04-07,555-8419,123 Hai Ba Trung,Hai Phong,Mathematics
Quang,Ly,quang.ly10,quang.ly10@student.sims.edu,,2002-12-13,555-2003,686 Tran Phu,Can Tho,Physics
Yen,Nguyen,yen.nguyen11,yen.nguyen11@student.sims.edu,,2002-11-08,555-3111,112 Nguyen Hue,Hai Phong,Electronics
Ha,Ly,ha.ly12,ha.ly12@student.sims.edu,,2004-09-22,555-9808,212 Hai Ba Trung,Hue,Physics
Dung,Duong,dung.duong13,dung.duong13@student.sims.edu,,2001-06-21,555-3833,855 Nguyen Hue,Can Tho,Physics
Minh,Tran,minh.tran14,minh.tran14@student.sims.edu,,2003-03-11,555-4811,266 Nguyen Hue,Can Tho,Business
Ha,Pham,ha.pham15,ha.pham15@student.sims.edu,,2003-03-09,555-1307,312 Nguyen Hue,Ho Chi Minh,Computer Science
Thu,Ho,thu.ho16,thu.ho16@student.sims.edu,,2003-07-07,555-4997,52 Tran Phu,Hai Phong,Information Technology
Hung,Vu,hung.vu17,hung.vu17@student.sims.edu,,2002-04-27,555-9395,986 Hai Ba Trung,Ho Chi Minh,Mathematics
Hoa,Vu,hoa.vu18,hoa.vu18@student.sims.edu,,2003-10-08,555-4540,586 Nguyen Hue,Nha Trang,Mathematics
Linh,Tran,linh.tran19,linh.tran19@student.sims.edu,,2001-09-02,555-6349,805 Tran Phu,Ha Noi,Computer Science
Chi,Vo,chi.vo20,chi.vo20@student.sims.edu,,2002-05-11,555-3382,785 Le Loi,Ha Noi,Information Technology
Trang,Ho,trang.ho21,trang.ho21@student.sims.edu,,2003-10-11,555-2743,370 Le Loi,Ho Chi Minh,Mathematics
Mai,Duong,mai.duong22,mai.duong22@student.sims.edu,,2003-03-03,555-8244,160 Le Loi,Ha Noi,Mathematics
Yen,Ho,yen.ho23,yen.ho23@student.sims.edu,,2005-08-21,555-5908,883 Nguyen Hue,Nha Trang,Information Technology
Yen,Do,yen.do24,yen.do24@student.sims.edu,,2002-03-06,555-7628,370 Tran Phu,Can Tho,Mathematics
Quyen,Le,quyen.le25,quyen.le25@student.sims.edu,,2001-03-21,555-6936,18 Le Loi,Ho Chi Minh,Electronics
An,Ly,an.ly26,an.ly26@student.sims.edu,,2001-01-09,555-9087,388 Nguyen Hue,Ho Chi Minh,Business
Son,Nguyen,son.nguyen27,son.nguyen27@student.sims.edu,,2003-09-09,555-2515,554 Hai Ba Trung,Ho Chi Minh,Business
Chi,Huynh,chi.huynh28,chi.huynh28@student.sims.edu,,2004-04-22,555-5356,913 Nguyen Hue,Can Tho,Information Technology
Khanh,Bui,khanh.bui29,khanh.bui29@student.sims.edu,,2001-11-16,555-4031,721 Hai Ba Trung,Da Nang,Electronics
Khanh,Ly,khanh.ly30,khanh.ly30@student.sims.edu,,2005-02-13,555-8234,176 Nguyen Hue,Can Tho,Business
Duc,Nguyen,duc.nguyen31,duc.nguyen31@student.sims.edu,,2001-01-10,555-7722,906 Hai Ba Trung,Nha Trang,Information Technology
Khanh,Duong,khanh.duong32,khanh.duong32@student.sims.edu,,2004-03-19,555-7668,193 Nguyen Hue,Ha Noi,Electronics
Hai,Nguyen,hai.nguyen33,hai.nguyen33@student.sims.edu,,2005-01-03,555-1360,471 Tran Phu,Ha Noi,Mathematics
Lan,Hoang,lan.hoang34,lan.hoang34@student.sims.edu,,2001-12-21,555-9621,456 Hai Ba Trung,Hue,Mathematics
Tam,Pham,tam.pham35,tam.pham35@student.sims.edu,,2005-01-22,555-4509,43 Nguyen Hue,Ho Chi Minh,Business
Trang,Dang,trang.dang36,trang.dang36@student.sims.edu,,2004-12-05,555-9736,318 Nguyen Hue,Hai Phong,Information Technology
Trang,Do,trang.do37,trang.do37@student.sims.edu,,2001-02-05,555-6808,398 Hai Ba Trung,Ho Chi Minh,Mathematics
Khanh,Tran,khanh.tran38,khanh.tran38@student.sims.edu,,2003-08-07,555-8310,320 Tran Phu,Can Tho,Physics
Giang,Vu,giang.vu39,giang.vu39@student.sims.edu,,2002-02-23,555-9134,45 Tran Phu,Ha Noi,Business
Mai,Nguyen,mai.nguyen40,mai.nguyen40@student.sims.edu,,2001-02-21,555-2579,288 Le Loi,Can Tho,Information Technology
Bao,Do,bao.do41,bao.do41@student.sims.edu,,2003-02-20,555-3310,446 Tran Phu,Hai Phong,Physics
Ha,Bui,ha.bui42,ha.bui42@student.sims.edu,,2004-04-07,555-6441,972 Hai Ba Trung,Can Tho,Electronics
Binh,Le,binh.le43,binh.le43@student.sims.edu,,2004-09-14,555-1180,153 Le Loi,Hue,Physics
Ngoc,Dang,ngoc.dang44,ngoc.dang44@student.sims.edu,,2005-10-22,555-2186,575 Nguyen Hue,Can Tho,Computer Science
Mai,Bui,mai.bui45,mai.bui45@student.sims.edu,,2003-11-10,555-3116,963 Le Loi,Hue,Computer Science
Hung,Ngo,hung.ngo46,hung.ngo46@student.sims.edu,,2003-02-04,555-2005,985 Le Loi,Ho Chi Minh,Mathematics
Mai,Dang,mai.dang47,mai.dang47@student.sims.edu,,2005-10-16,555-8331,218 Le Loi,Ha Noi,Business
Ngoc,Do,ngoc.do48,ngoc.do48@student.sims.edu,,2003-01-15,555-7587,478 Hai Ba Trung,Da Nang,Physics
Nam,Hoang,nam.hoang49,nam.hoang49@student.sims.edu,,2004-08-24,555-2390,513 Tran Phu,Hai Phong,Electronics
Ngoc,Dang,ngoc.dang50,ngoc.dang50@student.sims.edu,,2005-08-24,555-5765,740 Tran Phu,Nha Trang,Physics
Ha,Ngo,ha.ngo51,ha.ngo51@student.sims.edu,,2002-04-13,555-7878,477 Hai Ba Trung,Hue,Information Technology
Quang,Ngo,quang.ngo52,quang.ngo52@student.sims.edu,,2003-10-17,555-1181,28 Hai Ba Trung,Can Tho,Physics
Minh,Huynh,minh.huynh53,minh.huynh53@student.sims.edu,,2005-03-24,555-9622,243 Hai Ba Trung,Nha Trang,Electronics
Chi,Do,chi.do54,chi.do54@student.sims.edu,,2002-03-01,555-3476,384 Tran Phu,Ho Chi Minh,Mathematics
Phong,Huynh,phong.huynh55,phong.huynh55@student.sims.edu,,2004-11-18,555-3772,594 Hai Ba Trung,Ha Noi,Business
Bao,Bui,bao.bui56,bao.bui56@student.sims.edu,,2001-08-02,555-5297,673 Tran Phu,Hai Phong,Mathematics
Quyen,Ly,quyen.ly57,quyen.ly57@student.sims.edu,,2004-06-18,555-7075,465 Le Loi,Da Nang,Computer Science
Bao,Pham,bao.pham58,bao.pham58@student.sims.edu,,2005-02-14,555-7344,741 Tran Phu,Nha Trang,Information Technology
Binh,Ho,binh.ho59,binh.ho59@student.sims.edu,,2002-11-24,555-6804,229 Le Loi,Can Tho,Physics
Hung,Tran,hung.tran60,hung.tran60@student.sims.edu,,2005-02-18,555-8494,740 Le Loi,Ha Noi,Physics
Mai,Pham,mai.pham61,mai.pham61@student.sims.edu,,2003-10-23,555-4513,624 Hai Ba Trung,Can Tho,Physics
Binh,Vu,binh.vu62,binh.vu62@student.sims.edu,,2004-04-24,555-9464,501 Tran Phu,Ha Noi,Information Technology
Hai,Ly,hai.ly63,hai.ly63@student.sims.edu,,2002-03-19,555-6717,507 Tran Phu,Hai Phong,Physics
Tam,Ho,tam.ho64,tam.ho64@student.sims.edu,,2001-01-15,555-1616,95 Le Loi,Da Nang,Business
Mai,Duong,mai.duong65,mai.duong65@student.sims.edu,,2001-12-06,555-4276,393 Tran Phu,Ha Noi,Computer Science
Mai,Pham,mai.pham66,mai.pham66@student.sims.edu,,2001-11-12,555-5835,955 Le Loi,Ho Chi Minh,Business
Tam,Bui,tam.bui67,tam.bui67@student.sims.edu,,2001-03-28,555-3562,112 Le Loi,Ha Noi,Electronics
Nga,Dang,nga.dang68,nga.dang68@student.sims.edu,,2002-05-07,555-7799,727 Tran Phu,Can Tho,Mathematics
Ngoc,Huynh,ngoc.huynh69,ngoc.huynh69@student.sims.edu,,2005-09-15,555-6308,911 Nguyen Hue,Can Tho,Computer Science
Lan,Ly,lan.ly70,lan.ly70@student.sims.edu,,2002-08-23,555-3608,227 Le Loi,Ha Noi,Information Technology
An,Ho,an.ho71,an.ho71@student.sims.edu,,2002-10-18,555-2103,74 Tran Phu,Ha Noi,Mathematics
Binh,Ly,binh.ly72,binh.ly72@student.sims.edu,,2004-12-13,555-6301,823 Le Loi,Ha Noi,Mathematics
Tuan,Vo,tuan.vo73,tuan.vo73@student.sims.edu,,2003-09-02,555-4356,716 Le Loi,Da Nang,Mathematics
